time_a,time_b,indice_forca_a,indice_forca_b,gols_esperados_a,gols_esperados_b,sede_a,sede_b,prob_vitoria_a,prob_empate,prob_vitoria_b,placar_provavel,prob_placar,top5_placares,gerado_em,grupo
Suecia,Tunisia,63.4,36.1,1.6819,0.9581,False,False,54.3,24.2,21.5,1 x 0,12.0,"[{'placar': '1 x 0', 'probabilidade': 12.0}, {'placar': '1 x 1', 'probabilidade': 11.5}, {'placar': '2 x 0', 'probabilidade': 10.1}, {'placar': '2 x 1', 'probabilidade': 9.7}, {'placar': '0 x 0', 'probabilidade': 7.1}]",2026-05-11 08:32:34,F
Belgica,Egito,82.6,30.8,1.9239,0.7161,False,False,65.9,21.0,13.1,1 x 0,13.7,"[{'placar': '1 x 0', 'probabilidade': 13.7}, {'placar': '2 x 0', 'probabilidade': 13.2}, {'placar': '1 x 1', 'probabilidade': 9.8}, {'placar': '2 x 1', 'probabilidade': 9.5}, {'placar': '3 x 0', 'probabilidade': 8.5}]",2026-05-11 08:32:34,G
Belgica,Ira,82.6,46.8,1.6855,0.9545,False,False,54.5,24.2,21.3,1 x 0,12.0,"[{'placar': '1 x 0', 'probabilidade': 12.0}, {'placar': '1 x 1', 'probabilidade': 11.5}, {'placar': '2 x 0', 'probabilidade': 10.1}, {'placar': '2 x 1', 'probabilidade': 9.7}, {'placar': '0 x 0', 'probabilidade': 7.1}]",2026-05-11 08:32:34,G
Belgica,Nova Zelandia,82.6,16.8,2.193,0.447,False,False,77.6,16.2,6.2,2 x 0,17.2,"[{'placar': '2 x 0', 'probabilidade': 17.2}, {'placar': '1 x 0', 'probabilidade': 15.6}, {'placar': '3 x 0', 'probabilidade': 12.5}, {'placar': '2 x 1', 'probabilidade': 7.7}, {'placar': '0 x 0', 'probabilidade': 7.1}]",2026-05-11 08:32:34,G
Egito,Ira,30.8,46.8,1.0469,1.5931,False,False,25.0,25.1,50.0,1 x 1,11.9,"[{'placar': '1 x 1', 'probabilidade': 11.9}, {'placar': '0 x 1', 'probabilidade': 11.4}, {'placar': '1 x 2', 'probabilidade': 9.5}, {'placar': '0 x 2', 'probabilidade': 9.1}, {'placar': '1 x 0', 'probabilidade': 7.5}]",2026-05-11 08:32:34,G
Egito,Nova Zelandia,30.8,16.8,1.7058,0.9342,False,False,55.5,24.0,20.6,1 x 0,12.2,"[{'placar': '1 x 0', 'probabilidade': 12.2}, {'placar': '1 x 1', 'probabilidade': 11.4}, {'placar': '2 x 0', 'probabilidade': 10.4}, {'placar': '2 x 1', 'probabilidade': 9.7}, {'placar': '0 x 0', 'probabilidade': 7.1}]",2026-05-11 08:32:34,G
Ira,Nova Zelandia,46.8,16.8,1.9413,0.6987,False,False,66.7,20.7,12.6,1 x 0,13.9,"[{'placar': '1 x 0', 'probabilidade': 13.9}, {'placar': '2 x 0', 'probabilidade': 13.4}, {'placar': '1 x 1', 'probabilidade': 9.7}, {'placar': '2 x 1', 'probabilidade': 9.4}, {'placar': '3 x 0', 'probabilidade': 8.7}]",2026-05-11 08:32:34,G
Espanha,Cabo Verde,91.7,32.9,1.9431,0.6969,False,False,66.7,20.7,12.6,1 x 0,13.9,"[{'placar': '1 x 0', 'probabilidade': 13.9}, {'placar': '2 x 0', 'probabilidade': 13.5}, {'placar': '1 x 1', 'probabilidade': 9.7}, {'placar': '2 x 1', 'probabilidade': 9.4}, {'placar': '3 x 0', 'probabilidade': 8.7}]",2026-05-11 08:32:34,H
Espanha,Arabia Saudita,91.7,35.0,1.9103,0.7297,False,False,65.2,21.2,13.6,1 x 0,13.6,"[{'placar': '1 x 0', 'probabilidade': 13.6}, {'placar': '2 x 0', 'probabilidade': 13.0}, {'placar': '1 x 1', 'probabilidade': 9.9}, {'placar': '2 x 1', 'probabilidade': 9.5}, {'placar': '3 x 0', 'probabilidade': 8.3}]",2026-05-11 08:32:34,H
Espanha,Uruguai,91.7,71.7,1.482,1.158,False,False,44.6,25.8,29.6,1 x 1,12.2,"[{'placar': '1 x 1', 'probabilidade': 12.2}, {'placar': '1 x 0', 'probabilidade': 10.6}, {'placar': '2 x 1', 'probabilidade': 9.1}, {'placar': '0 x 1', 'probabilidade': 8.3}, {'placar': '2 x 0', 'probabilidade': 7.8}]",2026-05-11 08:32:34,H
Cabo Verde,Arabia Saudita,32.9,35.0,1.2784,1.3616,False,False,35.0,26.2,38.9,1 x 1,12.4,"[{'placar': '1 x 1', 'probabilidade': 12.4}, {'placar': '0 x 1', 'probabilidade': 9.7}, {'placar': '1 x 0', 'probabilidade': 9.1}, {'placar': '1 x 2', 'probabilidade': 8.5}, {'placar': '2 x 1', 'probabilidade': 7.9}]",2026-05-11 08:32:34,H
Cabo Verde,Uruguai,32.9,71.7,0.8305,1.8095,False,False,16.8,22.7,60.5,0 x 1,12.9,"[{'placar': '0 x 1', 'probabilidade': 12.9}, {'placar': '0 x 2', 'probabilidade': 11.7}, {'placar': '1 x 1', 'probabilidade': 10.7}, {'placar': '1 x 2', 'probabilidade': 9.7}, {'placar': '0 x 0', 'probabilidade': 7.1}]",2026-05-11 08:32:34,H
Arabia Saudita,Uruguai,35.0,71.7,0.8668,1.7732,False,False,18.1,23.2,58.7,0 x 1,12.7,"[{'placar': '0 x 1', 'probabilidade': 12.7}, {'placar': '0 x 2', 'probabilidade': 11.2}, {'placar': '1 x 1', 'probabilidade': 11.0}, {'placar': '1 x 2', 'probabilidade': 9.7}, {'placar': '0 x 0', 'probabilidade': 7.1}]",2026-05-11 08:32:34,H
Franca,Senegal,100.0,64.4,1.6054,1.0346,False,False,50.6,25.0,24.5,1 x 1,11.9,"[{'placar': '1 x 1', 'probabilidade': 11.9}, {'placar': '1 x 0', 'probabilidade': 11.5}, {'placar': '2 x 1', 'probabilidade': 9.5}, {'placar': '2 x 0', 'probabilidade': 9.2}, {'placar': '0 x 1', 'probabilidade': 7.4}]",2026-05-11 08:32:34,I
Franca,Iraque,100.0,37.2,1.9246,0.7154,False,False,65.9,21.0,13.1,1 x 0,13.7,"[{'placar': '1 x 0', 'probabilidade': 13.7}, {'placar': '2 x 0', 'probabilidade': 13.2}, {'placar': '1 x 1', 'probabilidade': 9.8}, {'placar': '2 x 1', 'probabilidade': 9.5}, {'placar': '3 x 0', 'probabilidade': 8.5}]",2026-05-11 08:32:34,I
Franca,Noruega,100.0,64.4,1.6054,1.0346,False,False,50.6,25.0,24.5,1 x 1,11.9,"[{'placar': '1 x 1', 'probabilidade': 11.9}, {'placar': '1 x 0', 'probabilidade': 11.5}, {'placar': '2 x 1', 'probabilidade': 9.5}, {'placar': '2 x 0', 'probabilidade': 9.2}, {'placar': '0 x 1', 'probabilidade': 7.4}]",2026-05-11 08:32:34,I
Senegal,Iraque,64.4,37.2,1.6743,0.9657,False,False,53.9,24.3,21.8,1 x 0,11.9,"[{'placar': '1 x 0', 'probabilidade': 11.9}, {'placar': '1 x 1', 'probabilidade': 11.5}, {'placar': '2 x 0', 'probabilidade': 10.0}, {'placar': '2 x 1', 'probabilidade': 9.7}, {'placar': '0 x 0', 'probabilidade': 7.1}]",2026-05-11 08:32:34,I
Senegal,Noruega,64.4,64.4,1.32,1.32,False,False,36.9,26.2,36.9,1 x 1,12.4,"[{'placar': '1 x 1', 'probabilidade': 12.4}, {'placar': '0 x 1', 'probabilidade': 9.4}, {'placar': '1 x 0', 'probabilidade': 9.4}, {'placar': '1 x 2', 'probabilidade': 8.2}, {'placar': '2 x 1', 'probabilidade': 8.2}]",2026-05-11 08:32:34,I
Iraque,Noruega,37.2,64.4,0.9657,1.6743,False,False,21.8,24.3,53.9,0 x 1,11.9,"[{'placar': '0 x 1', 'probabilidade': 11.9}, {'placar': '1 x 1', 'probabilidade': 11.5}, {'placar': '0 x 2', 'probabilidade': 10.0}, {'placar': '1 x 2', 'probabilidade': 9.7}, {'placar': '0 x 0', 'probabilidade': 7.1}]",2026-05-11 08:32:34,I
Argentina,Algeria,97.9,27.5,2.0602,0.5798,False,False,72.0,18.7,9.3,2 x 0,15.1,"[{'placar': '2 x 0', 'probabilidade': 15.1}, {'placar': '1 x 0', 'probabilidade': 14.7}, {'placar': '3 x 0', 'probabilidade': 10.4}, {'placar': '2 x 1', 'probabilidade': 8.8}, {'placar': '1 x 1', 'probabilidade': 8.5}]",2026-05-11 08:32:34,J
Argentina,Austria,97.9,69.8,1.541,1.099,False,False,47.4,25.4,27.1,1 x 1,12.1,"[{'placar': '1 x 1', 'probabilidade': 12.1}, {'placar': '1 x 0', 'probabilidade': 11.0}, {'placar': '2 x 1', 'probabilidade': 9.3}, {'placar': '2 x 0', 'probabilidade': 8.5}, {'placar': '0 x 1', 'probabilidade': 7.8}]",2026-05-11 08:32:34,J
Argentina,Jordania,97.9,44.6,1.8129,0.8271,False,False,60.6,22.6,16.7,1 x 0,12.9,"[{'placar': '1 x 0', 'probabilidade': 12.9}, {'placar': '2 x 0', 'probabilidade': 11.7}, {'placar': '1 x 1', 'probabilidade': 10.7}, {'placar': '2 x 1', 'probabilidade': 9.7}, {'placar': '0 x 0', 'probabilidade': 7.1}]",2026-05-11 08:32:34,J
Algeria,Austria,27.5,69.8,0.747,1.893,False,False,14.1,21.5,64.4,0 x 1,13.5,"[{'placar': '0 x 1', 'probabilidade': 13.5}, {'placar': '0 x 2', 'probabilidade': 12.8}, {'placar': '1 x 1', 'probabilidade': 10.1}, {'placar': '1 x 2', 'probabilidade': 9.6}, {'placar': '0 x 3', 'probabilidade': 8.1}]",2026-05-11 08:32:34,J
Algeria,Jordania,27.5,44.6,1.0071,1.6329,False,False,23.4,24.7,51.9,1 x 1,11.7,"[{'placar': '1 x 1', 'probabilidade': 11.7}, {'placar': '0 x 1', 'probabilidade': 11.7}, {'placar': '1 x 2', 'probabilidade': 9.6}, {'placar': '0 x 2', 'probabilidade': 9.5}, {'placar': '1 x 0', 'probabilidade': 7.2}]",2026-05-11 08:32:34,J
Austria,Jordania,69.8,44.6,1.61,1.03,False,False,50.8,24.9,24.3,1 x 1,11.8,"[{'placar': '1 x 1', 'probabilidade': 11.8}, {'placar': '1 x 0', 'probabilidade': 11.5}, {'placar': '2 x 1', 'probabilidade': 9.5}, {'placar': '2 x 0', 'probabilidade': 9.2}, {'placar': '0 x 1', 'probabilidade': 7.4}]",2026-05-11 08:32:34,J
Portugal,RD Congo,90.9,28.6,2.0081,0.6319,False,False,69.7,19.6,10.7,2 x 0,14.4,"[{'placar': '2 x 0', 'probabilidade': 14.4}, {'placar': '1 x 0', 'probabilidade': 14.3}, {'placar': '3 x 0', 'probabilidade': 9.6}, {'placar': '2 x 1', 'probabilidade': 9.1}, {'placar': '1 x 1', 'probabilidade': 9.1}]",2026-05-11 08:32:34,K
Portugal,Uzbequistao,90.9,43.6,1.7845,0.8555,False,False,59.3,23.0,17.7,1 x 0,12.7,"[{'placar': '1 x 0', 'probabilidade': 12.7}, {'placar': '2 x 0', 'probabilidade': 11.4}, {'placar': '1 x 1', 'probabilidade': 10.9}, {'placar': '2 x 1', 'probabilidade': 9.7}, {'placar': '0 x 0', 'probabilidade': 7.1}]",2026-05-11 08:32:34,K
Portugal,Colombia,90.9,75.9,1.4384,1.2016,False,False,42.5,26.0,31.5,1 x 1,12.3,"[{'placar': '1 x 1', 'probabilidade': 12.3}, {'placar': '1 x 0', 'probabilidade': 10.3}, {'placar': '2 x 1', 'probabilidade': 8.9}, {'placar': '0 x 1', 'probabilidade': 8.6}, {'placar': '1 x 2', 'probabilidade': 7.4}]",2026-05-11 08:32:34,K
RD Congo,Uzbequistao,28.6,43.6,1.0463,1.5937,False,False,24.9,25.1,50.0,1 x 1,11.9,"[{'placar': '1 x 1', 'probabilidade': 11.9}, {'placar': '0 x 1', 'probabilidade': 11.4}, {'placar': '1 x 2', 'probabilidade': 9.5}, {'placar': '0 x 2', 'probabilidade': 9.1}, {'placar': '1 x 0', 'probabilidade': 7.5}]",2026-05-11 08:32:34,K
RD Congo,Colombia,28.6,75.9,0.7224,1.9176,False,False,13.3,21.1,65.6,0 x 1,13.7,"[{'placar': '0 x 1', 'probabilidade': 13.7}, {'placar': '0 x 2', 'probabilidade': 13.1}, {'placar': '1 x 1', 'probabilidade': 9.9}, {'placar': '1 x 2', 'probabilidade': 9.5}, {'placar': '0 x 3', 'probabilidade': 8.4}]",2026-05-11 08:32:34,K
Uzbequistao,Colombia,43.6,75.9,0.9626,1.6774,False,False,21.6,24.3,54.1,0 x 1,12.0,"[{'placar': '0 x 1', 'probabilidade': 12.0}, {'placar': '1 x 1', 'probabilidade': 11.5}, {'placar': '0 x 2', 'probabilidade': 10.0}, {'placar': '1 x 2', 'probabilidade': 9.7}, {'placar': '0 x 0', 'probabilidade': 7.1}]",2026-05-11 08:32:34,K
Inglaterra,Croacia,92.0,87.7,1.3514,1.2886,False,False,38.4,26.2,35.5,1 x 1,12.4,"[{'placar': '1 x 1', 'probabilidade': 12.4}, {'placar': '1 x 0', 'probabilidade': 9.6}, {'placar': '0 x 1', 'probabilidade': 9.2}, {'placar': '2 x 1', 'probabilidade': 8.4}, {'placar': '1 x 2', 'probabilidade': 8.0}]",2026-05-11 08:32:34,L
Inglaterra,Gana,92.0,29.7,1.9959,0.6441,False,False,69.2,19.8,11.0,1 x 0,14.2,"[{'placar': '1 x 0', 'probabilidade': 14.2}, {'placar': '2 x 0', 'probabilidade': 14.2}, {'placar': '3 x 0', 'probabilidade': 9.5}, {'placar': '1 x 1', 'probabilidade': 9.2}, {'placar': '2 x 1', 'probabilidade': 9.2}]",2026-05-11 08:32:34,L
Inglaterra,Panama,92.0,27.8,2.0271,0.6129,False,False,70.6,19.3,10.2,2 x 0,14.7,"[{'placar': '2 x 0', 'probabilidade': 14.7}, {'placar': '1 x 0', 'probabilidade': 14.5}, {'placar': '3 x 0', 'probabilidade': 9.9}, {'placar': '2 x 1', 'probabilidade': 9.0}, {'placar': '1 x 1', 'probabilidade': 8.9}]",2026-05-11 08:32:34,L
Croacia,Gana,87.7,29.7,1.9725,0.6675,False,False,68.1,20.2,11.7,1 x 0,14.1,"[{'placar': '1 x 0', 'probabilidade': 14.1}, {'placar': '2 x 0', 'probabilidade': 13.9}, {'placar': '1 x 1', 'probabilidade': 9.4}, {'placar': '2 x 1', 'probabilidade': 9.3}, {'placar': '3 x 0', 'probabilidade': 9.1}]",2026-05-11 08:32:34,L
Croacia,Panama,87.7,27.8,2.0044,0.6356,False,False,69.5,19.7,10.8,2 x 0,14.3,"[{'placar': '2 x 0', 'probabilidade': 14.3}, {'placar': '1 x 0', 'probabilidade': 14.3}, {'placar': '3 x 0', 'probabilidade': 9.6}, {'placar': '2 x 1', 'probabilidade': 9.1}, {'placar': '1 x 1', 'probabilidade': 9.1}]",2026-05-11 08:32:34,L
Gana,Panama,29.7,27.8,1.3629,1.2771,False,False,38.9,26.2,34.9,1 x 1,12.4,"[{'placar': '1 x 1', 'probabilidade': 12.4}, {'placar': '1 x 0', 'probabilidade': 9.7}, {'placar': '0 x 1', 'probabilidade': 9.1}, {'placar': '2 x 1', 'probabilidade': 8.5}, {'placar': '1 x 2', 'probabilidade': 7.9}]",2026-05-11 08:32:34,L
